time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.55,-0.30,0.76,-0.65,-3.18,-0.42,0.52,0.39,10
1,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.55,-0.31,0.76,-0.65,-3.07,-0.50,0.44,0.28,10
2,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.55,-0.31,0.77,-0.65,-3.27,-0.51,0.45,3.80,10
3,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.51,-0.32,0.77,-0.62,-3.28,-0.22,0.35,7.48,10
4,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.55,-0.34,0.77,-0.67,-2.58,0.18,0.69,8.19,10
5,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.65,-0.33,0.77,-0.63,-2.48,1.71,0.60,16.73,10
6,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.65,-0.28,0.76,-0.68,-2.83,-0.62,0.65,14.15,10
7,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.60,-0.32,0.78,-0.61,-2.98,-0.53,0.33,6.59,10
8,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.65,-0.30,0.78,-0.63,-3.01,0.38,0.77,10.40,10
9,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.60,-0.32,0.81,-0.65,-2.90,-0.87,0.53,9.40,10
10,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.65,-0.31,0.80,-0.70,-3.47,-0.61,-1.89,19.81,10
11,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.65,-0.33,0.79,-0.67,-3.40,-0.53,0.34,9.58,10
12,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.55,-0.33,0.77,-0.66,-3.20,-0.59,0.49,7.31,10
13,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.60,-0.31,0.77,-0.65,-3.14,-0.50,0.55,1.93,10
14,18,1,0,1,0,0,0,0,0,0,0,37.45,26.04,18.65,-0.30,0.76,-0.65,-3.32,-0.52,0.58,3.77,10
