time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.09,-0.05,0.42,0.83,-3.02,-0.24,0.56,0.50,584
1,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.14,-0.06,0.41,0.82,-2.95,-0.37,0.44,1.65,584
2,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.09,-0.01,0.39,0.78,-2.89,-0.64,0.18,9.80,584
3,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.05,-0.08,0.41,0.84,-2.89,0.11,0.32,14.26,584
4,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.14,-0.04,0.41,0.81,-3.13,-0.33,0.69,8.63,584
5,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.19,-0.05,0.41,0.81,-3.27,-0.25,0.55,7.64,584
6,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.14,-0.05,0.40,0.81,-3.15,-0.32,0.61,5.49,584
7,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.14,-0.04,0.44,0.82,-3.18,-0.08,0.49,7.03,584
8,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.14,-0.05,0.40,0.81,-2.85,-0.18,0.60,6.54,584
9,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.09,-0.05,0.38,0.80,-3.31,-0.69,0.37,5.23,584
10,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.05,-0.04,0.40,0.82,-3.23,-0.18,0.51,7.34,584
11,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.14,-0.04,0.41,0.81,-3.08,-0.24,0.40,12.37,584
12,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.14,-0.05,0.41,0.81,-2.90,-0.17,0.56,3.05,584
13,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.14,-0.04,0.40,0.82,-3.11,-0.45,0.65,2.70,584
14,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.24,-0.05,0.39,0.80,-3.06,-0.16,0.44,2.38,584
15,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.14,-0.03,0.40,0.82,-3.10,-0.42,0.40,2.00,584
16,12,1,0,1,0,0,0,0,0,0,0,31.10,25.36,17.05,-0.04,0.41,0.82,-3.12,-0.41,0.43,2.14,584
