time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.31,0.77,-0.62,-3.05,-0.24,0.37,0.46,29
1,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.46,-0.32,0.77,-0.62,-3.09,-0.35,0.56,0.72,29
2,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.32,0.77,-0.62,-3.14,-0.33,0.47,3.01,29
3,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.25,0.78,-0.64,-3.19,-0.47,0.35,7.46,29
4,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.51,-0.35,0.75,-0.62,-3.10,-0.69,0.22,13.42,29
5,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.36,0.77,-0.61,-2.73,-0.42,0.44,14.05,29
6,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.34,0.77,-0.66,-3.26,-0.52,0.02,8.28,29
7,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.33,0.79,-0.62,-3.24,-0.43,0.79,10.07,29
8,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.41,-0.30,0.79,-0.63,-3.29,-0.23,0.18,11.08,29
9,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.41,-0.28,0.78,-0.65,-3.22,-0.31,0.45,5.10,29
10,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.36,0.80,-0.61,-2.86,-0.15,0.47,7.73,29
11,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.51,-0.28,0.81,-0.66,-2.60,0.17,0.50,6.45,29
12,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.41,-0.35,0.77,-0.61,-3.08,-0.34,0.91,11.28,29
13,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.32,0.79,-0.62,-3.15,-0.31,0.44,5.19,29
14,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.41,-0.30,0.78,-0.62,-3.13,-0.50,0.40,2.43,29
15,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.51,-0.31,0.76,-0.61,-3.19,-0.34,0.49,2.82,29
16,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.33,0.77,-0.62,-3.22,-0.28,0.44,2.96,29
17,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.31,0.78,-0.62,-3.11,-0.44,0.53,2.17,29
18,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.31,0.77,-0.63,-3.17,-0.33,0.41,3.24,29
19,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.31,0.77,-0.62,-3.20,-0.37,0.50,0.19,29
20,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.41,-0.35,0.74,-0.63,-3.10,-0.69,0.42,6.38,29
21,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.29,0.78,-0.62,-3.32,-0.29,0.74,6.28,29
22,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.30,0.78,-0.64,-3.08,-0.52,0.48,5.70,29
23,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.41,-0.31,0.76,-0.63,-3.02,-0.36,0.44,8.12,29
24,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.33,0.74,-0.62,-3.11,-0.43,0.47,5.54,29
25,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.33,0.79,-0.66,-3.11,-0.67,0.59,13.70,29
26,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.41,-0.32,0.78,-0.64,-3.31,-0.50,0.34,7.78,29
27,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.30,0.76,-0.62,-2.61,1.75,0.74,8.35,29
28,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.35,0.75,-0.62,-2.89,0.16,0.62,9.07,29
29,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.31,0.75,-0.60,-3.18,-0.09,0.40,12.44,29
30,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.30,0.78,-0.65,-2.72,-0.62,0.57,10.75,29
31,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.31,0.77,-0.58,-3.20,-0.10,0.38,8.10,29
32,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.30,0.77,-0.60,-3.20,-0.31,0.39,6.17,29
33,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.30,0.79,-0.63,-3.04,-0.31,0.40,13.46,29
34,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.30,0.76,-0.61,-3.29,-0.46,0.75,6.61,29
35,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.31,0.76,-0.61,-2.79,-0.08,0.43,10.46,29
36,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.27,0.75,-0.63,-3.04,-0.42,0.61,7.36,29
37,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.29,0.77,-0.60,-2.86,1.78,0.85,9.51,29
38,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.32,0.77,-0.63,-3.10,-0.21,0.59,7.18,29
39,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.31,0.77,-0.63,-3.23,-0.16,0.46,2.42,29
40,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.32,0.78,-0.62,-3.02,-0.31,0.44,1.94,29
41,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.31,0.76,-0.63,-3.05,-0.33,0.50,2.20,30
42,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.31,0.76,-0.60,-3.30,-0.38,0.04,9.98,30
43,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.33,0.78,-0.62,-3.41,-0.56,0.53,10.83,30
44,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.29,0.76,-0.63,-2.95,-0.25,0.40,6.28,30
45,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.33,0.77,-0.60,-3.04,-0.48,0.34,6.79,30
46,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.29,0.78,-0.64,-3.05,-0.69,0.62,7.26,30
47,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.29,0.79,-0.64,-3.27,-0.68,0.48,5.88,30
48,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.34,0.78,-0.62,-2.93,-0.02,0.73,7.87,30
49,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.34,0.75,-0.61,-3.06,-0.50,0.48,8.37,30
50,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.34,0.77,-0.64,-2.87,-0.22,0.34,0.66,30
51,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.33,0.78,-0.62,-3.02,-0.15,0.45,5.20,30
52,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.33,0.78,-0.63,-3.21,-0.06,0.31,5.13,30
53,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.33,0.76,-0.61,-3.33,-0.53,0.48,4.66,30
54,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.32,0.77,-0.62,-3.11,-0.44,0.33,7.87,30
55,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.31,0.81,-0.64,-3.12,-0.66,0.40,6.58,30
56,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.34,0.76,-0.64,-2.64,1.79,0.58,11.29,30
57,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.32,0.77,-0.60,-3.12,-0.15,0.40,11.01,30
58,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.32,0.80,-0.64,-2.98,-0.25,0.56,12.14,30
59,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.31,0.77,-0.61,-3.07,-0.67,0.36,4.33,30
60,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.31,0.77,-0.61,-3.26,-0.60,0.27,5.69,30
61,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.33,0.79,-0.64,-3.12,-0.39,0.58,9.44,30
62,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.32,0.76,-0.63,-3.00,0.09,0.64,7.42,30
63,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.34,0.77,-0.60,-3.27,-0.27,0.37,11.75,31
64,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.29,0.74,-0.61,-3.16,-0.50,0.32,8.97,31
65,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.18,-0.32,0.79,-0.65,-3.24,1.70,0.44,6.55,31
66,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.18,-0.30,0.77,-0.62,-3.08,-0.31,0.75,7.12,31
67,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.26,0.75,-0.65,-3.26,-0.40,0.21,9.73,31
68,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.31,0.78,-0.60,-3.11,-0.11,0.18,9.65,31
69,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.18,-0.32,0.77,-0.61,-2.92,-0.31,0.45,8.34,31
70,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.31,0.78,-0.63,-3.05,-0.16,0.31,6.50,31
71,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.18,-0.30,0.77,-0.62,-2.82,-0.36,0.44,6.82,31
72,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.18,-0.33,0.77,-0.63,-3.22,-0.90,0.67,6.13,31
73,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.33,0.76,-0.63,-2.99,-0.07,0.48,10.75,31
74,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.30,0.77,-0.64,-2.92,-0.16,0.34,9.48,31
75,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.37,-0.33,0.76,-0.65,-2.87,-0.76,0.24,5.66,31
76,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.33,0.77,-0.60,-3.07,-0.24,0.13,7.16,31
77,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.32,-0.34,0.77,-0.62,-3.15,0.01,0.63,3.76,31
78,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.18,-0.26,0.78,-0.63,-3.17,-0.39,0.27,6.21,31
79,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.35,0.76,-0.64,-3.02,-0.43,0.47,5.09,31
80,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.30,0.78,-0.63,-3.04,-0.37,0.39,7.21,31
81,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.18,-0.32,0.76,-0.61,-2.96,1.92,0.68,2.72,31
82,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.18,-0.33,0.75,-0.61,-3.18,-0.31,0.38,8.79,31
83,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.13,-0.35,0.79,-0.63,-2.94,-0.35,0.47,11.29,31
84,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.31,0.75,-0.61,-2.99,-0.02,0.44,6.37,31
85,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.33,0.78,-0.62,-3.42,-0.30,0.55,5.29,31
86,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.04,-0.33,0.78,-0.62,-3.24,-0.12,0.28,4.98,31
87,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.32,0.78,-0.64,-2.90,-0.37,0.76,5.06,31
88,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.22,-0.36,0.79,-0.63,-2.87,0.01,0.40,5.93,31
89,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.13,-0.30,0.77,-0.63,-3.12,-0.39,0.54,8.03,31
90,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.13,-0.33,0.78,-0.62,-3.05,-0.31,0.32,4.96,31
91,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.27,-0.30,0.76,-0.61,-3.37,-0.39,0.11,7.41,31
92,18,1,0,1,0,0,0,0,0,0,0,35.50,21.31,14.13,-0.38,0.77,-0.65,-2.91,-0.50,0.64,5.81,31
